កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
មន្ត	មន្ត	ម・ន・្・ត
មន្តី	មន្តី	ម・ន・្・ត・ី
មន្ត្រ	មន្ត្រ	ម・ន・្・ត・្・រ
មន្ត្រវិត	មន្ត្រ|វិត	ម・ន・្・ត・្・រ・វ・ិ・ត
មន្ត្រី	មន្ត្រី	ម・ន・្・ត・្・រ・ី
មន្ត្រីកិត្តិយស	មន្ត្រី|កិត្តិ|យស	ម・ន・្・ត・្・រ・ី・ក・ិ・ត・្・ត・ិ・យ・ស
មន្ត្រីខែត្រ	មន្ត្រី|ខែ|ត្រ	ម・ន・្・ត・្・រ・ី・ខ・ែ・ត・្・រ
មន្ត្រីខ្មោច	មន្ត្រី|ខ្មោច	ម・ន・្・ត・្・រ・ី・ខ・្・ម・ោ・ច
មន្ត្រីឃុំ	មន្ត្រី|ឃុំ	ម・ន・្・ត・្・រ・ី・ឃ・ុ・ំ
មន្ត្រីសង្កាត់	មន្ត្រី|សង្កាត់	ម・ន・្・ត・្・រ・ី・ស・ង・្・ក・ា・ត・់
មន្ត្រីសន្និបាត	មន្ត្រី|សន្និបាត	ម・ន・្・ត・្・រ・ី・ស・ន・្・ន・ិ・ប・ា・ត
មន្ត្រីសភា	មន្ត្រី|សភា	ម・ន・្・ត・្・រ・ី・ស・ភ・ា
