ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
បំពេញចិត្ត	ប・ំ・ព・េ・ញ・ច・ិ・ត・្・ត
ចរិយាសម្បត្តិ	ច・រ・ិ・យ・ា・ស・ម・្・ប・ត・្・ត・ិ
រួមចិត្ត	រ・ួ・ម・ច・ិ・ត・្・ត
គ្មានចិត្ត	គ・្・ម・ា・ន・ច・ិ・ត・្・ត
នឹកក្នុងចិត្ត	ន・ឹ・ក・ក・្・ន・ុ・ង・ច・ិ・ត・្・ត
ទេព្វនិមិត្ត	ទ・េ・ព・្・វ・ន・ិ・ម・ិ・ត・្・ត
ខ្លឹមចិត្ត	ខ・្・ល・ឹ・ម・ច・ិ・ត・្・ត
និមិត្តថ្មី	ន・ិ・ម・ិ・ត・្・ត・ថ・្・ម・ី
ឧត្តមសុរិយា	ឧ・ត・្・ត・ម・ស・ុ・រ・ិ・យ・ា
អត្ត	អ・ត・្・ត
អ្នកចូលចិត្ត	អ・្・ន・ក・ច・ូ・ល・ច・ិ・ត・្・ត
ភត្តាហារ	ភ・ត・្・ត・ា・ហ・ា・រ
បរិវត្តន៍	ប・រ・ិ・វ・ត・្・ត・ន・៍
មានសម្បត្តិ	ម・ា・ន・ស・ម・្・ប・ត・្・ត・ិ
មានចិត្តល្អ	ម・ា・ន・ច・ិ・ត・្・ត・ល・្・អ
ចាំចិត្ត	ច・ា・ំ・ច・ិ・ត・្・ត
បត្តាជី	ប・ត・្・ត・ា・ជ・ី
វត្តតាមឹម	វ・ត・្・ត・ត・ា・ម・ឹ・ម
លំបាកចិត្ត	ល・ំ・ប・ា・ក・ច・ិ・ត・្・ត
ធម្មយុត្តិ	ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ
ស្លាប់ចិត្ត	ស・្・ល・ា・ប・់・ច・ិ・ត・្・ត
កិត្តិសព្ទ	ក・ិ・ត・្・ត・ិ・ស・ព・្・ទ
សត្តនិករ	ស・ត・្・ត・ន・ិ・ក・រ
សញ្ញាប័ត្រកិត្តិយស	ស・ញ・្・ញ・ា・ប・័・ត・្・រ・ក・ិ・ត・្・ត・ិ・យ・ស
ព្រំខេត្ត	ព・្・រ・ំ・ខ・េ・ត・្・ត
លោកុត្តរ	ល・ោ・ក・ុ・ត・្・ត・រ
ចៅហ្វាយខេត្ត	ច・ៅ・ហ・្・វ・ា・យ・ខ・េ・ត・្・ត
ព្រឹត្តិ	ព・្・រ・ឹ・ត・្・ត・ិ
សេរីសម្បត្តិ	ស・េ・រ・ី・ស・ម・្・ប・ត・្・ត・ិ
ចិត្តគិត	ច・ិ・ត・្・ត・គ・ិ・ត
វរមិត្ត	វ・រ・ម・ិ・ត・្・ត
បុរេប្រវត្តិ	ប・ុ・រ・េ・ប・្・រ・វ・ត・្・ត・ិ
ថាចិត្ត	ថ・ា・ច・ិ・ត・្・ត
គន់គូរនក្ខត្តឫក្ស	គ・ន・់・គ・ូ・រ・ន・ក・្・ខ・ត・្・ត・ឫ・ក・្・ស
រតនសម្បត្តិ	រ・ត・ន・ស・ម・្・ប・ត・្・ត・ិ
តាមចិត្ត	ត・ា・ម・ច・ិ・ត・្・ត
វិបត្តិ	វ・ិ・ប・ត・្・ត・ិ
ភត្ត	ភ・ត・្・ត
នក្ខត្តឫក្ស	ន・ក・្・ខ・ត・្・ត・ឫ・ក・្・ស
ខេត្ត	ខ・េ・ត・្・ត
រត្តិ	រ・ត・្・ត・ិ
ជួយលើកទឹកចិត្ត	ជ・ួ・យ・ល・ើ・ក・ទ・ឹ・ក・ច・ិ・ត・្・ត
ដោយស្វ័យប្រវត្តិ	ដ・ោ・យ・ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត・ិ
ខាងកើតវត្ត	ខ・ា・ង・ក・ើ・ត・វ・ត・្・ត
ស្ងប់ចិត្ត	ស・្・ង・ប・់・ច・ិ・ត・្・ត
ភោគសម្បត្តិ	ភ・ោ・គ・ស・ម・្・ប・ត・្・ត・ិ
